Customer_ID,Company_Name,Industry,Country,Plan_Type,Monthly_Revenue,Signup_Date,Last_Login,Usage_Hours_Monthly,Feature_Usage,Satisfaction_Score,Churn_Risk,Last_Support_Ticket,Ticket_Count
1001,RetailCo,Retail,USA,Professional,149,2023-01-15,2025-06-07,200,"Dashboards, Real-Time Maps, Salesforce",4.8,Low,Ticket_54321 (INT-7001, 2025-05-01),5
1002,ShopEasy,Retail,USA,Starter,49,2023-03-01,2025-06-06,20,"Dashboards, CSV Upload",3.8,High,Ticket_54322 (DR-3003, 2025-04-15),3
1003,DataCorp,Technology,USA,Enterprise,5000,2022-06-01,2025-06-08,600,"Dashboards, APIs, SSO, White-Labeling",4.9,Low,Ticket_54323 (DB-2002, 2025-03-01),10
1004,TrendyTech,Technology,USA,Professional,149,2023-09-01,2025-06-05,150,"Dashboards, Real-Time Analytics, Google Analytics",4.5,Medium,Ticket_54324 (DB-2003, 2025-05-15),4
1005,HealthPlus,Healthcare,USA,Enterprise,3000,2023-02-01,2025-06-07,400,"Dashboards, Predictive Analytics, HIPAA",4.7,Low,Ticket_54325 (CALC-7007, 2025-04-01),8
1006,CloudSys,Technology,USA,Enterprise,4000,2022-12-01,2025-06-08,500,"APIs, Redshift, Webhooks",4.8,Low,Ticket_54326 (API-4004, 2025-05-20),7
1007,FinServ,Finance,USA,Professional,149,2023-05-01,2025-06-06,180,"Dashboards, QuickBooks",4.6,Low,Ticket_54327 (EXP-10001, 2025-04-10),3
1008,SmallBiz,Retail,USA,Starter,49,2023-11-01,2025-06-04,15,"Dashboards, Mixpanel",3.5,High,Ticket_54328 (MOB-6006, 2025-05-01),2
1009,EuroTrade,Finance,UK,Enterprise,3500,2022-08-01,2025-06-07,450,"Dashboards, SSO, GDPR",4.9,Low,Ticket_54329 (SSO-9001, 2025-03-15),6
1010,MediCare,Healthcare,USA,Professional,149,2023-04-01,2025-06-06,220,"Dashboards, Google Drive",4.4,Medium,Ticket_54330 (INT-7002, 2025-04-20),4
1011,TrendyShop,Retail,USA,Starter,49,2023-07-01,2025-06-05,30,"Dashboards, Shopify",4.0,Medium,Ticket_54331 (COL-11001, 2025-05-10),3
1012,TechTrend,Technology,USA,Professional,149,2023-10-01,2025-06-07,190,"APIs, BigQuery",4.7,Low,Ticket_54332 (API-4001, 2025-04-05),5
1013,HealthSys,Healthcare,Canada,Enterprise,4500,2022-11-01,2025-06-08,500,"Dashboards, HIPAA, Snowflake",4.8,Low,Ticket_54333 (MAP-12001, 2025-05-01),9
1014,BankPro,Finance,USA,Professional,149,2023-06-01,2025-06-06,170,"Dashboards, Xero",4.5,Low,Ticket_54334 (REP-8001, 2025-04-15),4
1015,MediTrend,Healthcare,USA,Enterprise,3200,2023-01-01,2025-06-07,420,"Predictive Analytics, Google Drive, HIPAA",4.6,Low,Ticket_54335 (INT-7002, 2025-05-05),7
